area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;015501;025;03;1;2;1;2;2;2;1;2;2;010150015501;01015001550102503;010150015501025031;2712;127,562986237543;202201
1;10150;015501;025;04;1;2;2;2;3;2;3;2;2;010150015501;01015001550102504;010150015501025041;2712;127,562986237543;202201
1;10150;015501;025;05;1;2;2;1;1;3;2;2;3;010150015501;01015001550102505;010150015501025051;2712;127,562986237543;202201
1;10150;015501;025;07;1;2;2;2;2;3;2;3;3;010150015501;01015001550102507;010150015501025071;2712;127,562986237543;202201
1;10150;016004;001;01;1;2;2;2;2;2;2;2;2;010150016004;01015001600400101;010150016004001011;2712;254,909250627467;202201
1;10150;016004;001;02;1;2;2;1;2;3;2;2;2;010150016004;01015001600400102;010150016004001021;2712;254,909250627467;202201
1;10150;016004;001;03;1;2;2;2;2;3;2;3;2;010150016004;01015001600400103;010150016004001031;2712;254,909250627467;202201
1;10150;016004;001;04;1;3;2;1;1;3;2;2;2;010150016004;01015001600400104;010150016004001041;2712;254,909250627467;202201
1;10150;016004;001;05;1;2;2;1;1;3;2;3;2;010150016004;01015001600400105;010150016004001051;2712;254,909250627467;202201
1;10150;016004;001;06;1;2;2;1;1;3;2;2;2;010150016004;01015001600400106;010150016004001061;2712;254,909250627467;202201
1;10150;016004;001;07;1;2;2;1;2;3;2;3;2;010150016004;01015001600400107;010150016004001071;2712;254,909250627467;202201
1;10150;016202;002;01;1;2;3;2;1;3;3;3;3;010150016202;01015001620200201;010150016202002011;2712;126,082410358227;202201
1;10150;016202;002;02;1;2;2;2;2;3;3;3;3;010150016202;01015001620200202;010150016202002021;2712;126,082410358227;202201
1;10150;016202;002;03;1;2;1;2;2;3;3;3;3;010150016202;01015001620200203;010150016202002031;2712;126,082410358227;202201
1;10150;016202;002;04;1;2;2;2;2;3;2;2;2;010150016202;01015001620200204;010150016202002041;2712;126,082410358227;202201
1;10150;016202;002;05;1;2;1;1;2;2;2;2;3;010150016202;01015001620200205;010150016202002051;2712;126,082410358227;202201
1;10150;016202;002;06;1;1;2;2;2;3;1;3;2;010150016202;01015001620200206;010150016202002061;2712;126,082410358227;202201
