CIUDAD,NOMBRE,coddom,DOMINIO,ZONA,SECTOR,VIVIENDA,HOGAR,RV00,RV32,RV33,RV34,RV35,RV37,RV38,RV39,RV310,fexph,fexpp
40150,TULCAN,401,TULCAN,6,10,9,1,1,1,4,1,1,40150,5,,1.0,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,7,5,15,1,1,1,12,2,1,40150,5,,,9.78448866,19.56897732
40150,TULCAN,401,TULCAN,8,2,4,1,1,1,10,2,1,40150,5,,,9.376801633,28.130404899
40150,TULCAN,401,TULCAN,8,8,13,1,1,1,3,2,1,40150,5,,1.0,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,8,9,7,1,1,1,9,2,1,40150,5,,1.0,9.376801633,28.130404899
40150,TULCAN,401,TULCAN,8,9,17,1,1,1,4,1,1,40150,5,,,9.376801633,37.507206532
40150,TULCAN,401,TULCAN,8,9,18,1,1,1,7,2,1,40150,5,,1.0,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,9,1,14,1,1,1,12,2,1,40150,5,,1.0,9.376801633,28.130404899
40150,TULCAN,401,TULCAN,9,10,14,1,1,1,7,2,1,40150,5,,1.0,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,9,10,16,1,1,1,1,2,1,40150,5,,1.0,9.376801633,28.130404899
40150,TULCAN,401,TULCAN,10,9,4,1,1,1,3,2,1,40150,5,,1.0,9.376801633,9.376801633
40150,TULCAN,401,TULCAN,10,9,9,1,1,1,8,2,1,40150,5,,1.0,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,10,10,1,1,1,1,8,1,1,40150,5,,1.0,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,10,10,15,1,1,1,1,2,1,40150,5,,,9.376801633,28.130404899
40150,TULCAN,401,TULCAN,11,5,2,1,1,1,10,1,1,40150,5,,1.0,9.376801633,28.130404899
40150,TULCAN,401,TULCAN,11,11,22,1,1,1,11,1,1,40150,5,,1.0,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,11,11,24,1,1,1,10,1,1,40150,5,,1.0,9.376801633,18.753603266
40153,JULIO ANDRADE (OREJUELA),401,TULCAN,1,7,12,1,1,1,10,2,1,40153,5,,1.0,9.376801633,18.753603266
40153,JULIO ANDRADE (OREJUELA),401,TULCAN,1,8,23,1,1,1,9,1,1,40153,5,,1.0,9.376801633,37.507206532
40153,JULIO ANDRADE (OREJUELA),401,TULCAN,1,9,18,1,1,1,6,1,1,40153,5,,1.0,9.376801633,18.753603266
40250,BOLIVAR,402,BOLIVAR,1,7,24,1,1,1,9,2,1,40250,5,,1.0,7.587361221,15.174722442
40550,SAN GABRIEL,405,MONTUFAR,1,8,2,1,1,1,5,2,1,40550,5,,1.0,9.64715048,19.29430096
40550,SAN GABRIEL,405,MONTUFAR,2,10,11,1,1,1,11,2,1,40550,5,,1.0,9.64715048,9.64715048
40550,SAN GABRIEL,405,MONTUFAR,3,5,18,1,1,1,3,2,1,40550,5,,1.0,9.64715048,19.29430096
40550,SAN GABRIEL,405,MONTUFAR,3,5,20,1,1,1,3,2,1,40550,5,,1.0,9.64715048,9.64715048
40550,SAN GABRIEL,405,MONTUFAR,3,5,24,1,1,1,9,2,1,40550,5,,1.0,9.64715048,19.29430096
40650,HUACA,406,SAN PEDRO DE HUACA,1,1,16,1,1,1,9,1,1,40650,5,,1.0,8.929267726,44.64633863
40650,HUACA,406,SAN PEDRO DE HUACA,1,1,20,1,1,1,2,1,1,40650,5,,1.0,8.929267726,44.64633863
40650,HUACA,406,SAN PEDRO DE HUACA,1,2,12,1,1,1,1,2,1,40150,5,,1.0,8.929267726,26.787803178
50150,LATACUNGA,501,LATACUNGA,1,7,12,1,1,1,7,2,1,50150,5,,1.0,10.7012591,21.4025182
50150,LATACUNGA,501,LATACUNGA,3,2,21,1,1,1,5,2,1,50150,5,,1.0,11.16653124,44.66612496
50150,LATACUNGA,501,LATACUNGA,3,7,9,1,1,1,12,1,1,50150,5,,,11.16653124,44.66612496
50150,LATACUNGA,501,LATACUNGA,3,7,20,1,1,1,6,2,1,50150,5,,1.0,11.16653124,22.33306248
50150,LATACUNGA,501,LATACUNGA,4,2,18,1,1,1,7,2,1,50150,5,,1.0,10.7012591,21.4025182
50150,LATACUNGA,501,LATACUNGA,4,5,7,1,1,1,2,2,1,50150,5,,1.0,10.7012591,21.4025182
50150,LATACUNGA,501,LATACUNGA,4,10,7,1,1,1,2,2,1,50150,5,,,13.51737992,13.51737992
50150,LATACUNGA,501,LATACUNGA,5,5,9,1,1,1,6,1,1,50150,5,,1.0,10.7012591,21.4025182
50150,LATACUNGA,501,LATACUNGA,6,6,15,1,1,1,7,2,1,50150,5,,1.0,10.7012591,32.1037773
50150,LATACUNGA,501,LATACUNGA,7,7,20,1,1,1,5,2,1,50150,5,,1.0,10.7012591,32.1037773
50150,LATACUNGA,501,LATACUNGA,11,3,13,1,1,1,9,2,1,50150,5,,1.0,10.7012591,53.5062955
50150,LATACUNGA,501,LATACUNGA,11,11,14,1,1,1,2,2,1,50150,5,,1.0,10.7012591,53.5062955
50150,LATACUNGA,501,LATACUNGA,12,3,11,1,1,1,8,2,1,50150,5,,1.0,10.7012591,21.4025182
50150,LATACUNGA,501,LATACUNGA,14,4,1,1,1,1,12,2,1,50150,5,,1.0,10.7012591,32.1037773
50150,LATACUNGA,501,LATACUNGA,14,4,8,1,1,1,4,2,1,50150,5,,1.0,10.7012591,42.8050364
50150,LATACUNGA,501,LATACUNGA,15,8,2,1,1,1,7,2,1,50150,5,,1.0,10.7012591,10.7012591
50150,LATACUNGA,501,LATACUNGA,15,11,15,1,1,1,2,2,1,50150,5,,1.0,10.7012591,21.4025182
50150,LATACUNGA,501,LATACUNGA,17,1,9,1,1,1,1,1,1,50150,5,,1.0,10.7012591,32.1037773
50150,LATACUNGA,501,LATACUNGA,18,2,8,1,1,1,2,2,1,50150,5,,1.0,10.7012591,32.1037773
50150,LATACUNGA,501,LATACUNGA,18,5,21,1,1,1,3,2,1,50150,5,,1.0,10.7012591,21.4025182
50250,LA MANA,502,LA MANA,1,2,17,1,1,1,11,1,1,50250,5,,1.0,9.344795971,28.034387913
50250,LA MANA,502,LA MANA,1,3,10,1,1,1,8,1,1,50250,5,,1.0,9.344795971,46.723979855
50250,LA MANA,502,LA MANA,1,3,16,1,1,1,4,2,1,50250,5,,1.0,9.344795971,46.723979855
50250,LA MANA,502,LA MANA,1,3,17,1,1,1,10,2,1,50250,5,,1.0,9.344795971,18.689591942
50250,LA MANA,502,LA MANA,1,8,9,1,1,1,11,2,1,80150,5,,1.0,9.344795971,18.689591942
50250,LA MANA,502,LA MANA,1,8,13,1,1,1,7,1,1,50250,5,,1.0,9.344795971,18.689591942
50250,LA MANA,502,LA MANA,1,10,1,1,1,1,8,1,1,50250,5,,1.0,9.344795971,18.689591942
50250,LA MANA,502,LA MANA,2,5,20,1,1,1,8,2,1,50250,5,,1.0,9.344795971,18.689591942
50250,LA MANA,502,LA MANA,3,8,17,1,1,1,12,1,1,50250,5,,1.0,10.67976682,21.35953364
50250,LA MANA,502,LA MANA,3,10,10,1,1,1,9,2,1,50250,5,,1.0,10.67976682,21.35953364
50250,LA MANA,502,LA MANA,3,10,17,1,1,1,1,1,1,50250,5,,1.0,10.67976682,21.35953364
50250,LA MANA,502,LA MANA,4,10,17,1,1,1,12,1,1,50250,5,,1.0,9.344795971,18.689591942
50250,LA MANA,502,LA MANA,5,2,18,1,1,1,11,1,1,50250,5,,1.0,9.751091448,19.502182896
50250,LA MANA,502,LA MANA,5,2,23,1,1,1,6,2,1,50250,5,,1.0,9.751091448,19.502182896
50250,LA MANA,502,LA MANA,5,7,19,1,1,1,2,2,1,50250,5,,1.0,9.344795971,9.344795971
50250,LA MANA,502,LA MANA,6,5,2,1,1,1,5,1,1,50250,5,,1.0,9.344795971,28.034387913
50450,PUJILI,504,PUJILI,1,4,12,1,1,1,2,1,1,50450,5,,1.0,8.803779395,17.60755879
50450,PUJILI,504,PUJILI,1,5,14,1,1,1,5,1,1,50450,5,,,9.604122976,28.812368928
50450,PUJILI,504,PUJILI,1,8,6,1,1,1,6,1,1,50450,5,,1.0,8.803779395,26.411338185
50450,PUJILI,504,PUJILI,2,6,18,1,1,1,8,2,1,50450,5,,1.0,9.604122976,9.604122976
50550,SAN MIGUEL,505,SALCEDO,2,1,15,1,1,1,7,2,1,50550,5,,1.0,10.67640265,32.02920795
50550,SAN MIGUEL,505,SALCEDO,3,3,19,1,1,1,8,1,1,50550,5,,1.0,12.36215044,24.72430088
50550,SAN MIGUEL,505,SALCEDO,3,9,3,1,1,1,12,2,1,170150,5,,1.0,9.78670243,19.57340486
50554,MULLIQUINDIL (SANTA ANA),505,SALCEDO,1,4,23,1,1,1,4,2,1,50554,5,,1.0,10.21221123,30.63663369
50650,SAQUISILI,506,SAQUISILI,2,9,1,1,1,1,10,1,1,50650,5,,1.0,8.590644439,17.181288878
60150,RIOBAMBA,601,RIOBAMBA,1,7,17,1,1,1,3,2,1,60150,5,,1.0,15.57540107,62.30160428
60150,RIOBAMBA,601,RIOBAMBA,3,2,4,1,1,1,9,1,1,60150,5,,,15.57540107,31.15080214
60150,RIOBAMBA,601,RIOBAMBA,3,2,14,1,1,1,7,2,1,60150,5,,1.0,15.57540107,46.72620321
60150,RIOBAMBA,601,RIOBAMBA,3,4,16,1,1,1,8,2,1,60150,5,,1.0,15.57540107,62.30160428
60150,RIOBAMBA,601,RIOBAMBA,4,8,2,1,1,1,12,1,1,60150,5,,1.0,16.99134662,33.98269324
60150,RIOBAMBA,601,RIOBAMBA,5,2,3,1,1,1,5,2,1,60150,5,,1.0,16.25259242,48.75777726
60150,RIOBAMBA,601,RIOBAMBA,5,4,6,1,1,1,6,1,1,60150,5,,1.0,15.57540107,77.87700535
60150,RIOBAMBA,601,RIOBAMBA,5,4,21,1,1,1,3,2,1,60150,5,,1.0,15.57540107,31.15080214
60150,RIOBAMBA,601,RIOBAMBA,6,4,10,1,1,1,3,2,1,60150,5,,1.0,15.57540107,62.30160428
60150,RIOBAMBA,601,RIOBAMBA,8,6,1,1,1,1,6,1,1,60150,5,,1.0,16.99134662,84.9567331
60150,RIOBAMBA,601,RIOBAMBA,9,1,12,1,1,1,7,2,1,60150,5,,1.0,18.69048128,37.38096256
60150,RIOBAMBA,601,RIOBAMBA,9,8,6,1,1,1,2,2,1,60150,5,,1.0,16.25259242,48.75777726
60150,RIOBAMBA,601,RIOBAMBA,10,5,18,1,1,1,4,2,1,60150,5,,1.0,15.57540107,46.72620321
60150,RIOBAMBA,601,RIOBAMBA,11,1,13,1,1,1,5,2,1,60150,5,,1.0,15.57540107,62.30160428
60150,RIOBAMBA,601,RIOBAMBA,11,1,23,1,1,1,3,2,1,60150,5,,1.0,15.57540107,31.15080214
60150,RIOBAMBA,601,RIOBAMBA,12,4,16,1,1,1,7,2,1,60150,5,,1.0,15.57540107,31.15080214
60150,RIOBAMBA,601,RIOBAMBA,13,7,17,1,1,1,1,1,1,60150,5,,1.0,15.57540107,31.15080214
