CIUDAD,NOMBRE,coddom,DOMINIO,ZONA,SECTOR,VIVIENDA,HOGAR,RV00,RV32,RV33,RV34,RV35,RV37,RV38,RV39,RV310,fexph,fexpp
10350,GUALACEO,0103,GUALACEO,4,3,3,1,1,1,2,2,1,10350,5, ,1,8.542672368,34.170689472
10350,GUALACEO,0103,GUALACEO,4,3,4,1,1,1,6,2,1,10350,1,1,1,8.542672368,17.085344736
10350,GUALACEO,0103,GUALACEO,4,9,8,1,1,1,11,2,1,10350,2,1, ,8.542672368,8.542672368
10350,GUALACEO,0103,GUALACEO,4,9,8,1,2,1,1,2,1,10350,2,1,1,8.542672368,8.542672368
10350,GUALACEO,0103,GUALACEO,4,9,16,1,1,1,2,1,1,10350,5, , ,8.542672368,17.085344736
10350,GUALACEO,0103,GUALACEO,4,9,16,1,2,1,6,1,1,10350,5, ,1,8.542672368,17.085344736
10350,GUALACEO,0103,GUALACEO,4,10,19,1,1,1,7,1,1,10350,5, ,1,8.542672368,34.170689472
10550,PAUTE,0105,PAUTE,1,2,12,1,1,1,12,1,2,10550,5, ,1,10.43650943,52.18254715
10550,PAUTE,0105,PAUTE,1,2,13,1,1,1,6,1,2,10550,5, ,1,10.43650943,104.3650943
10550,PAUTE,0105,PAUTE,1,5,16,1,1,1,8,2,2,10550,5, ,1,10.43650943,31.30952829
10550,PAUTE,0105,PAUTE,1,7,10,1,1,1,10,2,1,10550,2,1,1,9.566800313,28.700400939
10550,PAUTE,0105,PAUTE,1,7,11,1,1,1,5,2,1,10550,5, ,1,9.566800313,38.267201252
10550,PAUTE,0105,PAUTE,1,7,12,1,1,2,6,2,2,10550,5, ,1,9.566800313,9.566800313
10550,PAUTE,0105,PAUTE,1,7,19,1,1,1,10,2,2,10550,5, ,1,9.566800313,28.700400939
10550,PAUTE,0105,PAUTE,1,9,11,1,1,2,5,2,1,10550,5, ,1,9.566800313,28.700400939
10550,PAUTE,0105,PAUTE,1,9,16,1,1,3,2,2,2,10550,2,1,1,9.566800313,19.133600626
10550,PAUTE,0105,PAUTE,1,11,3,1,1,4,7,1,2,10550,5, , ,9.566800313,19.133600626
10550,PAUTE,0105,PAUTE,1,11,3,1,2,4,8,1,2,10550,5, ,1,9.566800313,19.133600626
10550,PAUTE,0105,PAUTE,1,11,10,1,1,4,8,2,2,10550,5, ,1,9.566800313,19.133600626
10550,PAUTE,0105,PAUTE,1,11,20,1,1,2,5,2,2,10550,2,2,1,9.566800313,28.700400939
10550,PAUTE,0105,PAUTE,2,2,2,1,1,4,4,2,2,10550,5, ,1,9.566800313,9.566800313
10550,PAUTE,0105,PAUTE,2,7,10,1,1,4,8,2,2,10550,5, ,1,9.566800313,19.133600626
10550,PAUTE,0105,PAUTE,2,10,8,1,1,1,12,2,2,10550,5, ,1,9.982748153,29.948244459
10550,PAUTE,0105,PAUTE,2,10,10,1,1,4,7,2,2,10550,5, ,1,9.982748153,19.965496306
10550,PAUTE,0105,PAUTE,2,10,11,1,1,4,1,2,2,10550,5, ,1,9.982748153,19.965496306
10850,SANTA ISABEL ( CHAGUARURC,0108,SANTA ISABEL,1,1,13,1,1,1,5,2,2,10150,5, ,1,9.838361515,29.515084545
10850,SANTA ISABEL ( CHAGUARURC,0108,SANTA ISABEL,1,1,18,1,1,1,5,2,1,10850,4,2,1,9.838361515,19.67672303
10850,SANTA ISABEL ( CHAGUARURC,0108,SANTA ISABEL,1,1,20,1,1,1,5,2,2,10850,2,2,1,9.838361515,39.35344606
10850,SANTA ISABEL ( CHAGUARURC,0108,SANTA ISABEL,2,3,13,1,1,1,9,2,1,10850,5, ,1,10.26611636,61.59669816
10850,SANTA ISABEL ( CHAGUARURC,0108,SANTA ISABEL,2,5,20,1,1,1,1,1,1,10850,5, ,1,11.24384173,22.48768346
11150,CHORDELEG,0111,CHORDELEG,1,3,3,1,1,1,9,2,1,11150,5, ,1,10.06343514,10.06343514
11150,CHORDELEG,0111,CHORDELEG,1,5,6,1,1,1,5,2,2,11150,5, ,1,9.224815549,27.674446647
11150,CHORDELEG,0111,CHORDELEG,1,8,9,1,1,1,6,2,1,11150,5, ,1,9.224815549,18.449631098
11150,CHORDELEG,0111,CHORDELEG,1,8,24,1,1,1,8,2,2,11150,5, ,1,9.224815549,27.674446647
11150,CHORDELEG,0111,CHORDELEG,1,10,3,1,1,1,2,2,2,11150,5, ,1,9.625894486,19.251788972
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,1,1,13,1,1,4,8,2,2,11550,5, ,1,9.274280328,9.274280328
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,1,3,13,1,1,1,10,1,2,11550,2,2,1,10.11739672,20.23479344
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,1,3,24,1,1,1,7,1,1,11550,2,2,1,10.11739672,20.23479344
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,1,5,4,1,1,4,8,2,2,11550,5, ,1,11.71488041,11.71488041
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,1,5,10,1,1,1,3,1,1,11550,5, ,1,11.71488041,23.42976082
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,1,5,13,1,1,1,4,2,1,11550,5, ,1,11.71488041,46.85952164
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,1,7,5,1,1,1,4,2,1,11550,5, ,1,9.677509907,19.355019814
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,1,10,5,1,1,1,8,2,1,11550,5, ,1,9.274280328,18.548560656
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,901,1,15,1,1,1,12,2,2,11550,5, , ,9.274280328,27.822840984
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,901,1,15,1,2,1,4,2,2,11550,5, ,1,9.274280328,27.822840984
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,901,1,23,1,1,3,11,2,2,110150,5, ,1,9.274280328,46.37140164
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,901,6,1,1,1,1,8,2,1,11550,1,2,1,10.11739672,40.46958688
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,901,6,10,1,1,1,8,2,1,11550,5, ,1,10.11739672,40.46958688
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,904,1,5,1,1,1,8,1,1,11550,5, ,1,9.274280328,18.548560656
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,904,1,19,1,1,1,7,1,1,11550,5, ,1,9.274280328,27.822840984
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,904,1,21,1,1,3,10,1,2,11550,5, ,1,9.274280328,37.097121312
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,906,2,4,1,1,1,7,2,1,11550,5, ,1,9.274280328,27.822840984
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,912,2,16,1,1,1,3,2,1,11550,5, ,1,9.274280328,27.822840984
11550,CAMILO PONCE ENRIQUEZ,0115,CAMILO PONCE ENRIQUEZ,912,4,17,1,1,4,10,2,1,11550,5, ,1,9.274280328,9.274280328
20150,GUARANDA,0201,GUARANDA,1,3,23,1,1,1,10,2,1,20150,5, ,1,9.994824678,19.989649356
20150,GUARANDA,0201,GUARANDA,1,7,23,1,1,1,10,2,1,20150,5, ,1,9.994824678,19.989649356
20150,GUARANDA,0201,GUARANDA,2,1,5,1,1,1,3,2,1,20150,5, ,1,11.42265677,45.69062708
20150,GUARANDA,0201,GUARANDA,2,1,11,1,1,1,7,2,1,20150,5, ,1,11.42265677,22.84531354
20150,GUARANDA,0201,GUARANDA,2,4,6,1,1,1,2,1,1,20150,5, ,1,9.994824678,39.979298712
