Agente;TipodeCentral;Central;Unidad;Julio;Agosto;Septiembre
HIDRONORMANDIA;H;C. H. NORMANDIA;NORMANDIA U3;7,08;6,00;3,86
HIDRONORMANDIA;H;C. H. NORMANDIA;NORMANDIA U4;7,02;6,38;4,04
HIDRONORMANDIA;H;C. H. NORMANDIA;NORMANDIA U5;7,15;6,51;4,21
HIDROPERLABI;H;C. H. PERLABI;HIDROPERLABI U1;0,94;0,74;0,58
HIDROSANBARTOLO;H;C. H. SAN BARTOLO;SAN BARTOLO U1;12,27;12,30;11,62
HIDROSANBARTOLO;H;C. H. SAN BARTOLO;SAN BARTOLO U2;12,22;11,04;9,36
HIDROSANBARTOLO;H;C. H. SAN BARTOLO;SAN BARTOLO U3;12,22;11,01;8,61
HIDROSIERRA;H;CENTRAL HIDROEL�CTRICA RIO VERDE CHICO;RIO VERDE CHICO U1;3,75;3,74;3,19
HIDROSIERRA;H;CENTRAL HIDROEL�CTRICA RIO VERDE CHICO;RIO VERDE CHICO U2;3,75;3,73;3,20
HIDROSIGCHOS;H;C. H. SIGCHOS;SIGCHOS U1;2,94;2,22;0,73
HIDROSIGCHOS;H;C. H. SIGCHOS;SIGCHOS U2;2,72;2,60;1,89
HIDROSIGCHOS;H;C. H. SIGCHOS;SIGCHOS U3;2,82;0,14;1,85
HIDROELECTRICA SAN JOSE DE MINAS;H;C. H. SAN JOS� DE MINAS;SAN  JOSE DE MINAS U1;2,81;2,07;1,66
HIDROULBA;H;C.H. ULBA;ULBA U1;0,70;0,74;0,62
HIDROVICTORIA;H;C.H. HIDROVICTORIA;HIDROVICTORIA U1;2,43;1,73;0,89
HIDROVICTORIA;H;C.H. HIDROVICTORIA;HIDROVICTORIA U2;2,35;2,12;1,99
IPNEG;H;C. H. PALMIRA;PALMIRA U1;3,33;2,53;1,88
IPNEG;H;C. H. PALMIRA;PALMIRA U2;2,95;1,78;1,36
